"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C2, C3","2","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C4, C5, C6","3","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C7, C8","2","4.7uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","D1","1","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"6","J1","1","Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount",""
"7","J2, J3, J8, J9, J10","5","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"8","J4","1","Micro_SD_Card","Connector_Card:microSD_HC_Molex_104031-0811",""
"9","J5","1","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"10","J6, J11","2","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"11","J7","1","Conn_01x06_Pin","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"12","L1","1","1uH","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder",""
"13","Q1","1","2N3904","PCM_Package_TO_SOT_THT_AKL:TO-92_Inline",""
"14","R1","1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","R2","1","2K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"16","R3","1","470","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"17","R4, R5","2","470K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"18","R6","1","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"19","U1","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
"20","U2","1","RFM69HCW","RF_Module:HOPERF_RFM69HW",""
"21","U3","1","ADP2108AUJ-3.3","Package_TO_SOT_SMD:TSOT-23-5",""
"22","U4","1","CAT3200-5","Package_TO_SOT_SMD:SOT-23-6",""
"23","U5","1","MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5",""
